#/opt/anaconda3/envs/sweep312/bin/bim ../Simulation/Slim(primary)/trees/r3060000.trees ../Simulation/Slim(primary)/trees/r3060001.trees ../Simulation/Slim(primary)/trees/r3060002.trees ../Simulation/Slim(primary)/trees/r3060003.trees ../Simulation/Slim(primary)/trees/r3060004.trees ../Simulation/Slim(primary)/trees/r3060005.trees ../Simulation/Slim(primary)/trees/r3060006.trees ../Simulation/Slim(primary)/trees/r3060007.trees ../Simulation/Slim(primary)/trees/r3060008.trees ../Simulation/Slim(primary)/trees/r3060009.trees ../Simulation/Slim(primary)/trees/r3060010.trees ../Simulation/Slim(primary)/trees/r3060011.trees ../Simulation/Slim(primary)/trees/r3060012.trees ../Simulation/Slim(primary)/trees/r3060013.trees ../Simulation/Slim(primary)/trees/r3060014.trees ../Simulation/Slim(primary)/trees/r3060015.trees ../Simulation/Slim(primary)/trees/r3060016.trees ../Simulation/Slim(primary)/trees/r3060017.trees ../Simulation/Slim(primary)/trees/r3060018.trees ../Simulation/Slim(primary)/trees/r3060019.trees ../Simulation/Slim(primary)/trees/r3060020.trees ../Simulation/Slim(primary)/trees/r3060021.trees ../Simulation/Slim(primary)/trees/r3060022.trees ../Simulation/Slim(primary)/trees/r3060023.trees ../Simulation/Slim(primary)/trees/r3060024.trees 50 --stat=all --eta=../Simulation/Slim(primary)/etas/Fn.json --out=outs/725002401.csv --r2t=0.005 --r2s=0.001 --weights=split
start,end,N,SS,ZngE,TajD,FayH,FulD,FerL,bsfs,Colless,btree,Omega,path
0,100001.0,50,382,1.227066661631836,-0.777688508701005,-0.27487068985521806,0.04247410878354629,-1.8579235849266114,-2.3812649694432957,0.2088561776061776,-1.8256197684952986,-1.0392357791611049,r3060010.trees
0,100001.0,50,372,0.436881548384229,-0.6750489433634694,-0.1535597788932742,0.6094423184704474,-0.8958212974529816,-1.768951519791392,0.2039651477029168,-1.5249954316929473,-0.86953690738649,r3060011.trees
0,100001.0,50,391,0.7103973896222,-0.9204276760926856,-0.22477760402184302,0.23080668157497017,-1.3524991435040699,-3.9119279454627764,0.18270693370515909,-1.5369915934856495,-0.8229500341244839,r3060012.trees
0,100001.0,50,415,0.9834024026018571,-0.5119487001731085,-0.20448022407502717,0.38404724905187076,-1.423469115633848,-1.652433398931309,0.18768221574344024,-1.3058178611601883,-1.1216917238361805,r3060013.trees
0,100001.0,50,431,0.8443900062680273,-1.0428198230595727,-0.25971063197633193,1.6224556158754595,-1.5777550602474488,-4.859773497455751,0.19698314108251996,-1.6560290628229752,-0.637827936540268,r3060014.trees
0,100001.0,50,398,0.21590232586287825,-0.3934452956811989,-0.08418513224464794,0.5781130123789027,-0.4780311804329781,-0.915202202681881,0.16768503808709112,-0.8646737472994938,-0.6254992716201702,r3060015.trees
0,100001.0,50,355,0.8757859525866096,-0.8162628125793151,-0.23293111844890824,0.004049936717784031,-1.4796583879906753,-3.471413418837128,0.18298986261171135,-1.3438290135084525,-1.120232800790345,r3060016.trees
0,100001.0,50,396,0.18056791141221237,-0.222470112713418,-0.0555202584091248,-0.150134911833457,-0.3370239770980395,-0.3736398597103812,0.11963705936920223,0.38049067958904453,-0.0011530705148725825,r3060017.trees
0,100001.0,50,450,0.5037055438785307,-0.3094254989012972,-0.11120849599902866,1.5469979987407003,-0.7569422521887612,-1.2953853344485171,0.16839070793152425,-1.1100172364247078,-0.6643293635569762,r3060018.trees
0,100001.0,50,368,0.9609106159871128,-0.28344729339707214,-0.1698611619105925,-0.7959159170539931,-1.2633165333495566,-0.9381961025836387,0.19284669174932545,-1.2776371207503605,-0.6915389168676305,r3060019.trees
0,100001.0,50,429,0.5226494055804203,-0.5118807809775744,-0.1421075407484581,0.19508563997488085,-0.8978448687982541,-1.33168179498661,0.18364273420211458,-1.4774067475458437,-0.9463433045061771,r3060020.trees
0,100001.0,50,392,0.5822070517713746,-0.5888323884513015,-0.16108567789342085,0.9771771929536757,-1.0109927796190954,-1.944424649998153,0.1945771979677947,-1.708294896551085,-0.9927285405238973,r3060021.trees
0,100001.0,50,399,0.4578349988387549,-0.6355157341154826,-0.15073994118559297,1.1992805228887051,-0.8966183442151505,-3.7045807980633185,0.20384673206299095,-1.7310376338080808,-0.9349031917562755,r3060022.trees
0,100001.0,50,347,0.5253556169144628,-0.607627602867852,-0.15627664833416363,1.1456775224869757,-0.9569571615162391,-2.4272907422984047,0.20096562114778796,-1.6393451937920298,-0.6096551980289892,r3060023.trees
0,100001.0,50,300,0.3657556242480691,-0.508843212415232,-0.12106595701518444,1.0501212255602788,-0.7164029183613481,-1.5546049580874561,0.12903100171366258,-0.24028816067074338,-0.38371495552707596,r3060024.trees
