#/opt/anaconda3/envs/sweep312/bin/bim ../Simulation/Slim(primary)/trees/r3020050.trees ../Simulation/Slim(primary)/trees/r3020051.trees ../Simulation/Slim(primary)/trees/r3020052.trees ../Simulation/Slim(primary)/trees/r3020053.trees ../Simulation/Slim(primary)/trees/r3020054.trees ../Simulation/Slim(primary)/trees/r3020055.trees ../Simulation/Slim(primary)/trees/r3020056.trees ../Simulation/Slim(primary)/trees/r3020057.trees ../Simulation/Slim(primary)/trees/r3020058.trees ../Simulation/Slim(primary)/trees/r3020059.trees ../Simulation/Slim(primary)/trees/r3020060.trees ../Simulation/Slim(primary)/trees/r3020061.trees ../Simulation/Slim(primary)/trees/r3020062.trees ../Simulation/Slim(primary)/trees/r3020063.trees ../Simulation/Slim(primary)/trees/r3020064.trees ../Simulation/Slim(primary)/trees/r3020065.trees ../Simulation/Slim(primary)/trees/r3020066.trees ../Simulation/Slim(primary)/trees/r3020067.trees ../Simulation/Slim(primary)/trees/r3020068.trees ../Simulation/Slim(primary)/trees/r3020069.trees ../Simulation/Slim(primary)/trees/r3020070.trees ../Simulation/Slim(primary)/trees/r3020071.trees ../Simulation/Slim(primary)/trees/r3020072.trees ../Simulation/Slim(primary)/trees/r3020073.trees ../Simulation/Slim(primary)/trees/r3020074.trees 50 --stat=all --eta=../Simulation/Slim(primary)/etas/Fn.json --out=outs/820046260.csv --r2t=0.005 --r2s=0.001 --weights=split
start,end,N,SS,FerL,bsfs,TajD,ZngE,FulD,FayH,btree,Omega,Colless,path
0,100001.0,50,298,-0.2685042227372372,-0.19727841264793847,-0.08991267558243936,0.1889261569778574,0.6825134339127367,-0.03832127506385927,-0.5236303309933439,-0.272241504670384,0.1559940302651673,r3020060.trees
0,100001.0,50,391,-0.9969265657082417,-4.355980074975105,-0.9362839620155636,0.39056830733071446,1.6317543608233853,-0.18369693366377954,-1.4871905529993956,-1.0039205678174101,0.20166032514700793,r3020061.trees
0,100001.0,50,394,-0.5823949814916051,-1.9893789871727003,-0.3708774142413865,0.3190361281379348,2.0452784152915644,-0.09500128284729004,-1.936352803657324,-0.5507773632321445,0.20762387795354828,r3020062.trees
0,100001.0,50,345,-0.4034198136591184,-0.2792417791274535,-0.07228347279216615,0.3162255253554508,1.085579575494785,-0.053027769772178684,-1.1535090444929006,0.0873363670292507,0.17696385123392425,r3020063.trees
0,100001.0,50,330,-0.3201670162995141,-0.983039199365668,-0.41107599919635085,0.06878903318527291,0.8358469791709191,-0.06686573425815912,-0.8475598517599008,-0.8485745193336235,0.1652475559760328,r3020064.trees
0,100001.0,50,433,-1.188948650191935,-1.4731299949240422,-0.3273507478032841,0.8731765898269981,0.16287768949129533,-0.1636908410433919,-0.9895669418016251,-0.3890670903940302,0.14887561242113426,r3020065.trees
0,100001.0,50,418,-0.46063191979937157,-0.5085461432822777,-0.11274764164993917,0.34555708808127766,0.8537384183854678,-0.06246740011030795,-0.9650411733262733,-0.6186074949451379,0.16108800207981283,r3020066.trees
0,100001.0,50,298,0.03145376912447453,-4.116661764435134,-0.9834743022753661,-0.5333180015273108,3.3102192321298882,-0.06512349229787207,-1.4036356975745454,-0.8130261767874697,0.18951365268329556,r3020067.trees
0,100001.0,50,497,-1.1598077002428062,-1.1084316262233356,-0.33650779126501246,0.8429439858878287,-0.043668730342030684,-0.1605878417141593,-1.6517975907511087,-0.702366490371813,0.20397261468690042,r3020068.trees
0,100001.0,50,346,-0.6252168362362313,-0.8689019509009752,-0.24679180714061322,0.4206370936884733,0.08967308352152761,-0.09160257148660918,-1.1181192148786547,-0.3981704216256208,0.17700590169842773,r3020069.trees
