#/opt/anaconda3/envs/sweep312/bin/bim ../Simulation/Slim(primary)/trees/r3030125.trees ../Simulation/Slim(primary)/trees/r3030126.trees ../Simulation/Slim(primary)/trees/r3030127.trees ../Simulation/Slim(primary)/trees/r3030128.trees ../Simulation/Slim(primary)/trees/r3030129.trees ../Simulation/Slim(primary)/trees/r3030130.trees ../Simulation/Slim(primary)/trees/r3030131.trees ../Simulation/Slim(primary)/trees/r3030132.trees ../Simulation/Slim(primary)/trees/r3030133.trees ../Simulation/Slim(primary)/trees/r3030134.trees ../Simulation/Slim(primary)/trees/r3030135.trees ../Simulation/Slim(primary)/trees/r3030136.trees ../Simulation/Slim(primary)/trees/r3030137.trees ../Simulation/Slim(primary)/trees/r3030138.trees ../Simulation/Slim(primary)/trees/r3030139.trees ../Simulation/Slim(primary)/trees/r3030140.trees ../Simulation/Slim(primary)/trees/r3030141.trees ../Simulation/Slim(primary)/trees/r3030142.trees ../Simulation/Slim(primary)/trees/r3030143.trees ../Simulation/Slim(primary)/trees/r3030144.trees ../Simulation/Slim(primary)/trees/r3030145.trees ../Simulation/Slim(primary)/trees/r3030146.trees ../Simulation/Slim(primary)/trees/r3030147.trees ../Simulation/Slim(primary)/trees/r3030148.trees ../Simulation/Slim(primary)/trees/r3030149.trees 50 --stat=all --eta=../Simulation/Slim(primary)/etas/Fn.json --out=outs/578969550.csv --r2t=0.005 --r2s=0.001 --weights=split
start,end,N,SS,ZngE,FulD,FayH,TajD,bsfs,FerL,btree,Colless,Omega,path
0,100001.0,50,397,1.8561838830923176,0.10301574101390647,-0.3629319729087535,-0.7997028714039589,-4.05794280152996,-2.588689286411622,-1.4976203198625215,0.1854455068740783,-1.474841469762463,r3030135.trees
0,100001.0,50,412,0.9614038050572413,-0.3081144503877211,-0.23885673315012204,-0.779219750971371,-2.2343254747162224,-1.555820518821006,-1.6787382478213047,0.2020955642530985,-0.9507771580584792,r3030136.trees
0,100001.0,50,267,1.3636283138044591,1.2524618680949209,-0.3651495165230653,-1.275898479030159,-4.67190480656026,-2.305642736259634,-2.024626893703388,0.1912892349922425,-0.7141440182721287,r3030137.trees
0,100001.0,50,375,0.6929880001418747,1.5255153199064584,-0.27699997647620284,-1.3100595437496805,-4.689799568180781,-1.5618413090478758,-2.6056875272066358,0.23378093568715827,-1.5965075918754223,r3030138.trees
0,100001.0,50,324,0.9439894993174713,1.3227448291985509,-0.283214740574368,-1.106958321704779,-4.260911382830523,-1.7281491445683541,-2.9692246729614142,0.26996625421822273,-1.0535519464964702,r3030139.trees
0,100001.0,50,364,1.4312101685856704,-0.8904165294746117,-0.27732758754226233,-0.5958608971755996,-1.6802528541115411,-1.9838426892703382,-2.039371771183942,0.2081133152561724,-0.7799513843540932,r3030140.trees
0,100001.0,50,405,0.9270630973427539,0.2553584860181738,-0.19977883287812417,-0.5323388152144244,-1.439563813587754,-1.371200909659219,-1.8344980266391406,0.20311953352769677,-1.0165236501303527,r3030141.trees
0,100001.0,50,400,0.36944152315305584,1.780345008201657,-0.14819276837575843,-0.7029327086193501,-2.42891242965381,-0.8354812614402352,-1.7632855033670047,0.1895133714861606,-1.1173548162216203,r3030142.trees
0,100001.0,50,351,0.8772012021557084,-0.04272778631905954,-0.2716383207684839,-1.0913831178102196,-4.181412376569416,-1.643079176110468,-2.329816063841448,0.2368164823181181,-1.4225235416046929,r3030143.trees
0,100001.0,50,279,0.12259425914789493,1.7459487157510727,-0.15177615943064615,-0.9635571445882638,-3.9021200449212463,-0.7053285869389483,-1.7165338675866006,0.18950538548752832,-0.7810450378341045,r3030144.trees
0,100001.0,50,387,-0.1883216052785045,0.15242789635122664,-0.07664959819833898,-0.7309957065150134,-1.145643257484474,-0.21551753714487634,-0.6878342466791447,0.15561224489795916,-0.40006675384317064,r3030145.trees
0,100001.0,50,338,0.7000843449546801,2.1823583788554095,-0.26647021946694893,-1.225288458916833,-4.943268647767165,-1.5195108827114114,-1.991322987043458,0.20553543998244458,-0.4194600626491797,r3030146.trees
0,100001.0,50,447,0.775306802591547,0.651308538288787,-0.19693470020298554,-0.6607155283618524,-1.936636385329662,-1.2738174397359778,-1.6769712891210795,0.2104518950437318,-0.8792907156388748,r3030147.trees
0,100001.0,50,403,0.07742628076936281,0.8975839800177323,-0.07599952080292165,-0.46905013896303926,-0.8934859048036884,-0.3645964479318711,-2.3729973196616676,0.23443877551020406,-0.9115099224408935,r3030148.trees
0,100001.0,50,416,0.42207196434600946,0.3752167713227693,-0.14192630648337476,-0.6075706691106969,-1.3081057901332704,-0.8394438288765663,-1.0967195820360738,0.16352974116475857,-0.5922378278314109,r3030149.trees
