#/opt/anaconda3/envs/sweep312/bin/bim ../Simulation/Slim(primary)/trees/r3020200.trees ../Simulation/Slim(primary)/trees/r3020201.trees ../Simulation/Slim(primary)/trees/r3020202.trees ../Simulation/Slim(primary)/trees/r3020203.trees ../Simulation/Slim(primary)/trees/r3020204.trees ../Simulation/Slim(primary)/trees/r3020205.trees ../Simulation/Slim(primary)/trees/r3020206.trees ../Simulation/Slim(primary)/trees/r3020207.trees ../Simulation/Slim(primary)/trees/r3020208.trees ../Simulation/Slim(primary)/trees/r3020209.trees ../Simulation/Slim(primary)/trees/r3020210.trees ../Simulation/Slim(primary)/trees/r3020211.trees ../Simulation/Slim(primary)/trees/r3020212.trees ../Simulation/Slim(primary)/trees/r3020213.trees ../Simulation/Slim(primary)/trees/r3020214.trees ../Simulation/Slim(primary)/trees/r3020215.trees ../Simulation/Slim(primary)/trees/r3020216.trees ../Simulation/Slim(primary)/trees/r3020217.trees ../Simulation/Slim(primary)/trees/r3020218.trees ../Simulation/Slim(primary)/trees/r3020219.trees ../Simulation/Slim(primary)/trees/r3020220.trees ../Simulation/Slim(primary)/trees/r3020221.trees ../Simulation/Slim(primary)/trees/r3020222.trees ../Simulation/Slim(primary)/trees/r3020223.trees ../Simulation/Slim(primary)/trees/r3020224.trees 50 --stat=all --eta=../Simulation/Slim(primary)/etas/Fn.json --out=outs/476436525.csv --r2t=0.005 --r2s=0.001 --weights=split
start,end,N,SS,FerL,FayH,TajD,bsfs,ZngE,FulD,Omega,Colless,btree,path
0,100001.0,50,366,-0.5860556671926924,-0.045450026560951366,0.3457023563462785,0.018055208338824676,0.6918472846912471,-0.9439892970596051,0.3411386991277369,0.11482721923125079,0.21484148426222832,r3020211.trees
0,100001.0,50,407,-0.4208464378940695,-0.05598448615831367,-0.0871147227432608,-0.4211042976871966,0.32391110735812906,0.5653962539738118,-0.7135860178835768,0.17939027462836987,-1.2068791731975645,r3020212.trees
0,100001.0,50,462,-1.098462189208161,-0.15662105061759332,-0.38156544264647696,-1.3593196739680062,0.7658401965947661,-0.47103976754123655,-0.6691603040322462,0.16736036519871106,-0.9934979327985315,r3020213.trees
0,100001.0,50,358,-0.4259675739110403,-0.06301590639203408,-0.17731840407547755,-0.6264832414726607,0.2818496340423816,1.1336675450584455,-0.6491555945201675,0.1831377059494318,-1.2605871097081487,r3020214.trees
0,100001.0,50,395,-0.6695173235670516,-0.0840215858527792,-0.06580914786581529,-0.7299287369330756,0.552853516303447,0.5325032258332114,-0.0721162578613377,0.16409078251183515,-0.971083092934633,r3020215.trees
0,100001.0,50,355,-0.3517474955899496,-0.03547106774958252,0.09059919162039749,0.09108891884875889,0.3549241133741755,0.2957794417452636,-0.4786637053496402,0.2064396310671508,-1.9919379390906309,r3020216.trees
0,100001.0,50,476,-0.9907749362554934,-0.10290762280144644,0.20488590458137637,-0.12655974834730374,0.9746924186050049,-0.8966731033142498,-0.7143772827983718,0.16636467671180621,-0.8857934648156904,r3020217.trees
0,100001.0,50,411,0.45718612241997736,0.04039396126586755,-0.19769539231401212,0.08050632779140222,-0.5028353805367551,0.5639256232178356,-0.0759428628643701,0.1559409846412792,-0.9032481749829244,r3020218.trees
0,100001.0,50,454,-0.5284652618271111,-0.06611427428514126,-0.050988846975137295,0.007920559444616395,0.4369733425400556,-0.9434786826950692,-0.5386491930903038,0.2093170601573963,-1.6207999861261402,r3020219.trees
0,100001.0,50,335,-1.1388271009249713,-0.17513256843619743,-0.5665519562874224,-2.6663214316430834,0.7059196866878452,0.597828055236103,-0.9599322015705866,0.2034876450580232,-1.8300284976925545,r3020220.trees
0,100001.0,50,370,-0.6294571916570394,-0.06308730553130355,0.16694508289975354,0.15824650241460544,0.6377249917747486,0.11052384622019247,-0.036647226334242694,0.14878505358978125,-0.3925832160684422,r3020221.trees
0,100001.0,50,390,-0.9214283939575137,-0.13265122462085466,-0.333781217474377,-1.0529108823675148,0.6353386023564317,0.5435108859422114,-0.8040369375293513,0.1915524951239237,-1.3262690002668662,r3020222.trees
0,100001.0,50,529,-0.390813928721141,-0.046558876499080644,-0.005629388017251203,-0.05041483204068153,0.3398287092205985,0.23614643886800982,-0.19723228173032892,0.16011987319199525,-0.6969445940170285,r3020223.trees
0,100001.0,50,397,-0.7330082564216105,-0.12101135209964184,-0.4876132792857995,-1.3783744997575802,0.39078439858437874,0.438669604354333,-0.6942899690909764,0.2040580120937264,-1.6258754834435916,r3020224.trees
