#/opt/anaconda3/envs/sweep312/bin/bim ../Simulation/Slim(primary)/trees/r3050100.trees ../Simulation/Slim(primary)/trees/r3050101.trees ../Simulation/Slim(primary)/trees/r3050102.trees ../Simulation/Slim(primary)/trees/r3050103.trees ../Simulation/Slim(primary)/trees/r3050104.trees ../Simulation/Slim(primary)/trees/r3050105.trees ../Simulation/Slim(primary)/trees/r3050106.trees ../Simulation/Slim(primary)/trees/r3050107.trees ../Simulation/Slim(primary)/trees/r3050108.trees ../Simulation/Slim(primary)/trees/r3050109.trees ../Simulation/Slim(primary)/trees/r3050110.trees ../Simulation/Slim(primary)/trees/r3050111.trees ../Simulation/Slim(primary)/trees/r3050112.trees ../Simulation/Slim(primary)/trees/r3050113.trees ../Simulation/Slim(primary)/trees/r3050114.trees ../Simulation/Slim(primary)/trees/r3050115.trees ../Simulation/Slim(primary)/trees/r3050116.trees ../Simulation/Slim(primary)/trees/r3050117.trees ../Simulation/Slim(primary)/trees/r3050118.trees ../Simulation/Slim(primary)/trees/r3050119.trees ../Simulation/Slim(primary)/trees/r3050120.trees ../Simulation/Slim(primary)/trees/r3050121.trees ../Simulation/Slim(primary)/trees/r3050122.trees ../Simulation/Slim(primary)/trees/r3050123.trees ../Simulation/Slim(primary)/trees/r3050124.trees 50 --stat=all --eta=../Simulation/Slim(primary)/etas/Fn.json --out=outs/101857167.csv --r2t=0.005 --r2s=0.001 --weights=split
start,end,N,SS,FerL,FayH,ZngE,bsfs,FulD,TajD,btree,Omega,Colless,path
0,100001.0,50,363,-1.4610228577374864,-0.18970628426002498,1.161307731646266,-1.6764585035970472,-0.7615013199859693,-0.230775882897352,-0.9514942110986124,-0.5788268270156921,0.16734593245582258,r3050110.trees
0,100001.0,50,393,-0.7376928646729684,-0.08127005402202776,0.6927350892465198,-0.2203437180451994,0.40125366510231436,0.08945244516006517,-1.2602603551570917,-0.7632856280048325,0.18866595718041818,r3050111.trees
0,100001.0,50,389,-0.2115633519450975,-0.03908688618264988,0.08214381778338359,-0.5926132194927831,1.0100397083979233,-0.20013701620081492,-0.6772063703855978,-0.6303306183179352,0.1578523882671348,r3050112.trees
0,100001.0,50,373,0.21221631063941548,-0.008375893792918586,-0.4337733253481818,-1.463677016426657,2.186128170375322,-0.480408056186982,-0.8365243667708625,-0.5111116539940153,0.1533371626796414,r3050113.trees
0,100001.0,50,381,-0.3483269166436505,-0.06201707875348944,0.15266331313392223,-0.7886388694778209,1.1778875282115313,-0.29580332343805105,-1.1230586168248946,-0.6257483784185404,0.17513546116120868,r3050114.trees
0,100001.0,50,340,-0.2612476517452789,-0.08399163793235447,-0.1608854752865245,-2.796802266260588,1.3672699957526047,-0.7565509486223819,-1.2790021987994789,-0.9246140068865665,0.1673106742697079,r3050115.trees
0,100001.0,50,411,-1.3458205724589962,-0.20150966356471436,0.8694511343196293,-2.4503220156092413,0.3837638528500695,-0.6008165454389482,-0.9308007614265218,-0.5960725181391007,0.15839179421768707,r3050116.trees
0,100001.0,50,360,-0.37277813717729247,-0.07588521420377432,0.0936783871621923,-0.8173009558104082,-0.3293879454579012,-0.4518854023663641,-0.5270604428988824,-0.43774001860212647,0.1406200063918185,r3050117.trees
0,100001.0,50,352,-0.7133383462736077,-0.0996062124337912,0.515870884454466,-0.7351219249671997,0.4103624391419518,-0.21182751540875538,-1.187282499280915,-0.3994891762119122,0.18908848261526834,r3050118.trees
0,100001.0,50,348,-0.01036674379370482,-0.04420306189106751,-0.3075924230429718,-1.5321278542043855,1.5580398098481665,-0.614474632712757,-1.16068299209005,-0.42067497766328354,0.17105442176870747,r3050119.trees
