#/opt/anaconda3/envs/sweep312/bin/bim ../Simulation/Slim(primary)/trees/r3060025.trees ../Simulation/Slim(primary)/trees/r3060026.trees ../Simulation/Slim(primary)/trees/r3060027.trees ../Simulation/Slim(primary)/trees/r3060028.trees ../Simulation/Slim(primary)/trees/r3060029.trees ../Simulation/Slim(primary)/trees/r3060030.trees ../Simulation/Slim(primary)/trees/r3060031.trees ../Simulation/Slim(primary)/trees/r3060032.trees ../Simulation/Slim(primary)/trees/r3060033.trees ../Simulation/Slim(primary)/trees/r3060034.trees ../Simulation/Slim(primary)/trees/r3060035.trees ../Simulation/Slim(primary)/trees/r3060036.trees ../Simulation/Slim(primary)/trees/r3060037.trees ../Simulation/Slim(primary)/trees/r3060038.trees ../Simulation/Slim(primary)/trees/r3060039.trees ../Simulation/Slim(primary)/trees/r3060040.trees ../Simulation/Slim(primary)/trees/r3060041.trees ../Simulation/Slim(primary)/trees/r3060042.trees ../Simulation/Slim(primary)/trees/r3060043.trees ../Simulation/Slim(primary)/trees/r3060044.trees ../Simulation/Slim(primary)/trees/r3060045.trees ../Simulation/Slim(primary)/trees/r3060046.trees ../Simulation/Slim(primary)/trees/r3060047.trees ../Simulation/Slim(primary)/trees/r3060048.trees ../Simulation/Slim(primary)/trees/r3060049.trees 50 --stat=all --eta=../Simulation/Slim(primary)/etas/Fn.json --out=outs/597614046.csv --r2t=0.005 --r2s=0.001 --weights=split
start,end,N,SS,FulD,TajD,FayH,ZngE,FerL,bsfs,btree,Colless,Omega,path
0,100001.0,50,426,1.5757126140305564,-0.8433688262852301,-0.14942739437090016,0.23424454777811252,-0.7641773344023495,-3.8198230817822005,-1.123616443978853,0.17036124794745486,-0.9614339115984954,r3060036.trees
0,100001.0,50,364,1.304812749094523,-0.5248104680687741,-0.18051764606843013,0.7903612604979777,-1.2107321638961952,-2.536573849115253,-0.5474012158327168,0.14240767735665694,-0.3281516042810505,r3060037.trees
0,100001.0,50,339,-0.8004254271547021,-0.8780296768871972,-0.3330828280954007,1.5485998450995913,-2.2837915907059974,-3.162985940325112,-1.398630444550305,0.18127598261526834,-0.9152463941414779,r3060038.trees
0,100001.0,50,338,1.0447020462902794,-0.7903358321775681,-0.12279636899787728,0.09007966332807563,-0.5675251642954199,-2.713704489193562,-1.692171778838834,0.20458834218618954,-0.8532038544195539,r3060039.trees
0,100001.0,50,389,0.9339260108247106,-0.9179668513545464,-0.19365459713549654,0.48294669157208464,-1.091521563098823,-3.3722298593796074,-1.6716263892609184,0.20464852607709752,-0.9486209218611229,r3060040.trees
0,100001.0,50,382,-0.19002339347314318,-0.89020464686795,-0.14835891073275304,0.17684086522560136,-0.7258407356587306,-2.0190322452070393,-1.4711664206095523,0.19011337868480727,-0.7522580084999498,r3060041.trees
0,100001.0,50,365,0.2787071028801845,-0.8665571791856798,-0.24374373668029437,0.9043801255953444,-1.5419450395095715,-3.426176562212252,-1.2074139853945602,0.16108025488676483,-1.035288318797788,r3060042.trees
0,100001.0,50,404,0.5940077776663529,-0.5458177867445198,-0.1382222783239127,0.45809503205862645,-0.8441096484737104,-1.6147213473146433,-1.0288199327391325,0.16861491432015843,-0.1969668815929722,r3060043.trees
0,100001.0,50,370,0.7904846412733527,-0.5963415200273884,-0.1913523511137585,0.7968616436774287,-1.2602597325452232,-1.9569401221934184,-1.3318766243397049,0.18435776677534918,-0.8079228008561514,r3060044.trees
0,100001.0,50,445,0.2361834509238481,-0.8470072881445615,-0.3590353042078708,1.7828993366112509,-2.5329144117326425,-4.314074775736925,-1.4444457929027386,0.18892034835912386,-0.9243675898667503,r3060045.trees
0,100001.0,50,364,0.3698076860002615,-0.4653750086898274,-0.21408052906573205,1.099235033287907,-1.5282286664361209,-2.089523559749876,-1.2474529571605213,0.1708996785527398,-0.760483078615636,r3060046.trees
0,100001.0,50,349,0.018258010760042857,-0.05769242384353887,-0.15471202169751871,1.0807702904254841,-1.2673818792843592,-0.7577546898399907,-1.196799653733073,0.17554102177783865,-0.6898688119208409,r3060047.trees
0,100001.0,50,311,1.41985330530291,-0.6213421554518185,-0.10070000386529554,0.10077208892660189,-0.4800594347396862,-2.3673963929101323,-1.0037602148520501,0.16549590850833087,-0.7276778951794709,r3060048.trees
0,100001.0,50,360,1.807858837634163,-0.6638653894240667,-0.17542357195449657,0.6091759014664763,-1.0857743821476917,-3.8635663341672553,-0.6180145851814307,0.14193902198560585,-0.1687673744167791,r3060049.trees
