start,end,N,SS,TajD,FayH,bsfs,FulD,FerL,ZngE,btree,Colless,Omega,path
0,100001.0,50,513,-0.1061687159534324,-0.029616950947214,-0.428811006478852,0.2884543579322051,-0.1879694453257404,0.1098985650742489,-0.5793534069154715,0.1523953921191118,-0.475540222542378,3000017
0,100001.0,50,480,-0.1622595887378479,0.0059019285747459,-0.022381463066552,-0.1755695859535739,0.1456018492045081,-0.2115866745452387,0.096759800645706,0.1286128441013711,-0.106065900897188,3000018
0,100001.0,50,531,0.3726118537534328,-0.0148019807031763,0.083343918132537,-0.2519390908084958,-0.3452403023357388,0.4956564694398376,0.7021453412047894,0.1035136542655339,0.4087252283840419,3000019
0,100001.0,50,455,-0.1001743805367522,-0.0185906041168258,-0.3935234568886445,0.4843109941323703,-0.0979959462375698,0.0341365477672419,-0.1051515146040151,0.1351086776173884,-0.0353908084652375,3000020
0,100001.0,50,495,-0.0324869978692408,0.0111525089386819,-0.1397226697495463,0.3588092378535067,0.1134944955552909,-0.1163287273974898,0.5043583697602095,0.101743999486587,0.3608788436600725,3000021
0,100001.0,50,493,0.1343641517078406,-0.0177110103668945,-0.3804489919688232,0.3134839289581617,-0.2290589333781491,0.2703656796751319,0.2264572373977008,0.1144179894179894,0.0143413778751344,3000022
0,100001.0,50,480,-0.2783439394545437,-0.0487208072809183,-0.3990446085703782,-0.3608507971952051,-0.2477400358448558,0.0732755504705985,0.3443348565951408,0.1132086167800453,-0.1931266444010591,3000023
0,100001.0,50,417,0.3295196309826678,0.0449546105960304,0.7607955900234765,-0.1308105562529378,0.1851444319768892,0.0078846584495659,0.5649972106324899,0.1117797118847539,0.3083315596976533,3000024
0,100001.0,50,446,0.4665412699290454,-0.0017565461832602,0.7414038056075971,-0.5690271875441179,-0.2898541929674709,0.4952320562257568,0.3573313020215914,0.1122743651916212,0.0303598553467096,3000025
0,100001.0,50,383,0.5686454826995203,0.06339475412408,1.4506263156001002,-0.5073133964107011,0.1993467773794296,0.1186870822942681,0.6412350014574065,0.1115578681803847,0.4554069061715636,3000026
0,100001.0,50,433,-0.6532201380131144,-0.032544755808951,-1.3398119092034917,1.326098473022272,0.1102297022826875,-0.4341226562060764,-0.88499269015894,0.1666477702191988,-0.7603371903786682,3000027
0,100001.0,50,459,-0.3065660474026552,-0.0392109790570194,-0.3689426364252253,-0.4848592908625054,-0.1505458794606544,-0.0264879277364583,0.0995285384412986,0.1234444997511199,0.0153237469246042,3000028
0,100001.0,50,430,-0.0804077472714864,-0.0220208183004156,-0.1375770282050079,-0.0541697662709218,-0.1384939659214838,0.0798703413157704,-0.0205675028973883,0.1231859410430839,0.0162538696112795,3000029
0,100001.0,50,496,-0.0590237091827833,-0.0767459601985727,-0.6337520115787876,-0.3061157947827374,-0.6143188196603403,0.5081584233154507,0.1913352041983589,0.1171290124089837,0.0151193274569749,3000030
