start,end,N,SS,FayH,FulD,TajD,FerL,ZngE,bsfs,Omega,Colless,btree,path
0,100001.0,50,488,-0.0109736080357087,-0.0444591574828145,0.1936686998576137,-0.2070411360669554,0.2817243016719863,0.111981064060027,-0.0107812533627178,0.1474446188731903,-0.2291153094702479,3110034
0,100001.0,50,449,0.0614815394131806,-0.5542506336364033,0.4472026957609014,0.2556726067028608,0.0069792576684979,0.8888813788882107,0.2580873052877972,0.1375160875160875,-0.1549163568127752,3110035
0,100001.0,50,509,0.0335446737480592,-0.5864112846388586,0.2997003330921436,0.1069837210683991,0.061262871759392,0.5611944582668458,0.223550674709471,0.1181405895691609,0.4736580841385941,3110036
0,100001.0,50,502,-0.0085082636422318,0.1602130133641929,0.2468855626589936,-0.2176420869178371,0.3185895267675045,0.272857536445408,0.039131857982743,0.1230228544619818,0.1932990715032915,3110037
0,100001.0,50,428,-0.0193386304992771,-1.2157655630538182,0.2589739005409052,-0.3158368110773497,0.410658396714116,0.1695198365565001,0.2132380475778942,0.1159364943582223,0.2387901545594269,3110038
0,100001.0,50,426,-0.0174001660819164,0.741204026816897,0.1248314427575564,-0.2204134102368898,0.257704629649864,-0.2218482506231005,0.1791458216981175,0.1230570440466689,0.0412570275549042,3110039
0,100001.0,50,369,0.0290708995561445,-0.2813182429600818,0.3457001345879707,0.0413231372426979,0.1420760075665997,0.6417211434058439,0.1812887333692107,0.1207532145806299,0.3296309880554791,3110040
0,100001.0,50,476,0.0439309924870309,0.5668274477193173,-0.1236550354465673,0.4443032746712177,-0.4535237430175735,0.4082298663226866,0.1901707560047011,0.1295133437990581,0.0596058379183672,3110041
0,100001.0,50,472,0.0302821622022074,0.1599110936225116,0.3179659004372164,0.0684438243540044,0.1044062458907595,0.8748207179896474,-0.1219161649415224,0.1206858449594527,0.0682384487936561,3110042
0,100001.0,50,475,0.0043149214507247,0.2005075575324613,-0.362709468215532,0.2503914447850846,-0.4071157579633874,-0.41757780632446,-0.0840550958636239,0.1413439031526589,-0.325180097079305,3110043
0,100001.0,50,384,-0.0380748806545265,0.4877075869587004,0.078363355209148,-0.3669391200761296,0.3620282979960793,-0.6211768718716231,-0.2345716780250999,0.1379180414680842,-0.3822341573675961,3110044
0,100001.0,50,495,-0.0769147955917906,1.0476421926481585,-0.331295032421157,-0.4551030107654288,0.2276894350037235,-1.2082914331135488,-0.4695241708555006,0.1612733056185437,-0.8837792876609782,3110045
0,100001.0,50,409,-0.0927846116959412,0.6913834579010955,-0.6659970876178593,-0.3902732695658862,-0.0017872467189034,-1.985819218813096,-0.4877479193940477,0.1556168915653693,-0.6192946701593288,3110046
0,100001.0,50,515,-0.083562283489022,0.1593732487588904,0.3405391999037471,-0.9081004434716692,0.9725947988535852,-0.5041600166551687,0.1779180631612508,0.1256113256113256,-0.0396597347321514,3110047
0,100001.0,50,449,0.0162822670127872,-0.8512519236594099,0.3739289081089668,-0.0829084270799671,0.2659508645591859,0.7088169335103923,0.5743884842482282,0.1130311421050832,0.5743378750508924,3110048
0,100001.0,50,424,0.0017840743379253,0.3409976856081244,0.2325732696118472,-0.1219854578611873,0.2270685542906543,-0.1383438377772465,0.3912768765529172,0.1131432060003488,0.1815982938860107,3110049
0,100001.0,50,392,-0.029499778633314,0.0329900167020039,-0.0232141701488301,-0.2349712077146483,0.1939638157993603,-0.1933386405064165,-0.1780996251179968,0.1322344322344322,-0.2809955206459547,3110050
0,100001.0,50,398,0.0489107047936851,-0.5751417622079427,0.2084641087246282,0.2895824185315951,-0.1462121045016743,0.7621038884844975,0.4467294484380915,0.1030444964871194,0.7760629071624233,3110051
0,100001.0,50,478,0.0332994247178968,0.302614597557777,-0.1744640310736832,0.3844143230048828,-0.427292946977321,0.1294277525891378,0.04893044336234,0.1231831530426378,-0.0341184181483461,3110052
0,100001.0,50,441,-0.0183238139553246,0.436157757498456,-0.2278230411243418,-0.0204454496189332,-0.0998033008721327,-0.4874248669518287,-0.121290549245239,0.1278195488721804,-0.1771978579480747,3110053
0,100001.0,50,405,0.0138339211847736,1.132865994496003,-0.4186508526364635,0.3632520864129537,-0.5345458325599978,-0.6050292863131034,-0.0417720662400704,0.1393304690297171,-0.2408498951445227,3110054
0,100001.0,50,437,0.0061896655859411,-0.2755566079751894,0.1382298517632594,-0.0292108419053894,0.0970321986805523,0.3134521265133246,0.6274213280252756,0.1015607856045644,0.8758790749651,3110055
0,100001.0,50,470,-0.031072110387645,0.1115379849965936,-0.5056208696500828,0.0355535350698032,-0.2926171487434184,-0.7794400477297371,-0.1946290938006229,0.137076740808683,-0.2945173350023514,3110056
0,100001.0,50,455,0.0255147692429729,0.0935020331300456,0.1659744975989125,0.117698164908827,-0.0173975890381738,0.5071181867676835,0.2689065947614262,0.125161346589918,0.0960478634339056,3110057
0,100001.0,50,501,0.0256903563295336,-1.016588019068353,0.1332643691600116,0.1386993469134545,-0.0526787427494125,0.5208507271154985,0.1596819876718757,0.1099624060150376,0.6401972959432547,3110058
0,100001.0,50,430,0.0239213311494529,-0.3297669943583156,0.2563551921516298,0.0508487588898507,0.0878609500697043,0.5323982899944701,0.7471588642277742,0.1026848609266191,1.131434983713866,3110059
