start,end,N,SS,bsfs,TajD,FerL,FulD,ZngE,FayH,btree,Colless,Omega,path
0,100001.0,50,364,-1.6422001369849897,-0.7266122706837236,-0.0924157112263509,1.264160355046947,-0.2936915653326038,-0.0617716649469281,-0.6035725664803665,0.1529010955031363,-0.1678255909372054,3040012
0,100001.0,50,455,-0.7140063701451173,-0.4327076107556007,-0.0714750221724797,0.744850301467253,-0.1610060502692662,-0.0386580666046091,-0.7054162626910063,0.1707846059772223,-0.3594896990573575,3040013
0,100001.0,50,376,-0.3119026769431259,-0.0160229368706941,-0.6393286219924657,-0.3767233990002913,0.5520302147303124,-0.0770264829169992,-0.0471989836518223,0.1288708735027753,0.2986756761532218,3040014
0,100001.0,50,322,-0.4805044152347747,0.0490974969075081,-0.4272717902629236,0.1575648443102413,0.3995799776313225,-0.0474418733601947,0.3391969856653599,0.1164915966386554,0.4660624613108191,3040015
0,100001.0,50,329,-3.487196982340876,-0.9318557186301462,-0.1389982182099685,1.4775697822067282,-0.3581161533210611,-0.0817419579386273,-0.6501504468279126,0.1404983226167179,-0.552418661249497,3040016
0,100001.0,50,368,0.5145223165365576,0.228627401396619,0.0957331580785997,-0.3937802025067332,0.0340126211419319,0.0273510705405287,0.0810217860025818,0.1225262832405689,0.2196726673205459,3040017
0,100001.0,50,400,-0.9123379865360376,-0.4214830845734154,-0.5148916845147482,-0.0705020470714262,0.2337307424487026,-0.0905097126816391,-0.4945429396870834,0.1503112941082865,-0.3115162158504683,3040018
0,100001.0,50,394,-0.58855694079088,-0.2782999278445854,-0.3436313786003993,0.8428140459229067,0.1575469570363683,-0.0602083380600347,-0.0783387080869988,0.128915638111532,-0.1259548375854192,3040019
0,100001.0,50,497,0.4370245368224157,0.0848044848109433,0.2638944722939028,0.0458193412438637,-0.1875357317278921,0.0371136043355805,-0.2892352530282881,0.1376536853273419,0.059322868190805,3040020
0,100001.0,50,451,-4.591883434124203,-0.8254398482490616,-1.4331345957228447,1.963395069802012,0.8298349223375161,-0.2272692269177486,-0.6778750098832181,0.1558821133243716,-0.6038956774930916,3040021
