#/opt/anaconda3/envs/sweep312/bin/bim ../Simulation/Slim(primary)/trees/r3030025.trees ../Simulation/Slim(primary)/trees/r3030026.trees ../Simulation/Slim(primary)/trees/r3030027.trees ../Simulation/Slim(primary)/trees/r3030028.trees ../Simulation/Slim(primary)/trees/r3030029.trees ../Simulation/Slim(primary)/trees/r3030030.trees ../Simulation/Slim(primary)/trees/r3030031.trees ../Simulation/Slim(primary)/trees/r3030032.trees ../Simulation/Slim(primary)/trees/r3030033.trees ../Simulation/Slim(primary)/trees/r3030034.trees ../Simulation/Slim(primary)/trees/r3030035.trees ../Simulation/Slim(primary)/trees/r3030036.trees ../Simulation/Slim(primary)/trees/r3030037.trees ../Simulation/Slim(primary)/trees/r3030038.trees ../Simulation/Slim(primary)/trees/r3030039.trees ../Simulation/Slim(primary)/trees/r3030040.trees ../Simulation/Slim(primary)/trees/r3030041.trees ../Simulation/Slim(primary)/trees/r3030042.trees ../Simulation/Slim(primary)/trees/r3030043.trees ../Simulation/Slim(primary)/trees/r3030044.trees ../Simulation/Slim(primary)/trees/r3030045.trees ../Simulation/Slim(primary)/trees/r3030046.trees ../Simulation/Slim(primary)/trees/r3030047.trees ../Simulation/Slim(primary)/trees/r3030048.trees ../Simulation/Slim(primary)/trees/r3030049.trees 50 --stat=all --eta=../Simulation/Slim(primary)/etas/Fn.json --out=outs/529016740.csv --r2t=0.005 --r2s=0.001 --weights=split
start,end,N,SS,TajD,FerL,FulD,bsfs,FayH,ZngE,Colless,Omega,btree,path
0,100001.0,50,307,-0.6272065015271385,-2.224775831156769,0.5663772715688999,-3.150614963620763,-0.30909066808375557,1.6260153595731008,0.18082757296466972,-1.0582409908834216,-1.6012497211681198,r3030035.trees
0,100001.0,50,384,0.002051872891138691,-0.6943945498149657,0.8731985801115318,-0.34988856928927214,-0.08227129444269839,0.6096435949563904,0.14707868963188112,-0.3692566381035661,-0.6521895604018959,r3030036.trees
0,100001.0,50,313,-0.32803718810165994,-1.062596904654759,0.9648594299214508,-0.9829750849278676,-0.14956525630690884,0.7619745236230967,0.15478620019436345,-0.3274680719832061,-0.8041829171360174,r3030037.trees
0,100001.0,50,292,-0.9824200863097072,-1.8396289075462406,-0.09613731256759664,-3.7327567989582153,-0.28832631731885394,1.1060377944730373,0.1969305083144369,-0.8721445206594354,-1.8860418347160663,r3030038.trees
0,100001.0,50,351,-0.8827805627778728,-0.8838845363493851,0.7580679366527151,-2.504920739607836,-0.16680153802671666,0.3194880289562323,0.19252701080432172,-0.648225121691464,-1.4462494428969432,r3030039.trees
0,100001.0,50,326,-1.6544489667606934,-1.3484630186679374,3.290113690777649,-5.301298984825196,-0.27629344306485476,0.329426098151134,0.21873516848599905,-1.2353611261061739,-2.010041166802854,r3030040.trees
0,100001.0,50,258,-1.0256398217663683,-1.5440476374309668,1.810461529038582,-4.163564699485248,-0.25672177068593577,0.8254513347729621,0.1799580192437335,-0.7960561551829007,-1.5876890348440558,r3030041.trees
0,100001.0,50,348,-1.2736062426738601,-1.4358754666235407,3.130829503003576,-5.0154551013608595,-0.2597827730462299,0.6017654717158001,0.2042864591091911,-1.2258258846593006,-1.917863895660133,r3030042.trees
0,100001.0,50,411,-0.7000305293492299,-0.8801109867758266,1.3566374128360055,-2.324652327361864,-0.1532275406195887,0.4099971545254327,0.21025012214830685,-0.5411325268309096,-1.545922607322382,r3030043.trees
0,100001.0,50,348,0.3810413850905642,-0.9341257860157851,0.3678205825954239,-0.2317487558475496,-0.08441678288682787,1.014866108272882,0.18155256288561938,-0.681062514109193,-1.464947303011614,r3030044.trees
