start,end,N,SS,bsfs,TajD,FerL,ZngE,FulD,FayH,btree,Colless,Omega,path
0,100001.0,50,368,-0.9381961025836388,-0.2834472933970721,-1.2633165333495566,0.9609106159871128,-0.7959159170539931,-0.1698611619105925,-1.2776371207503605,0.1928466917493254,-0.6915389168676305,3060019
0,100001.0,50,429,-1.33168179498661,-0.5118807809775744,-0.8978448687982541,0.5226494055804203,0.1950856399748808,-0.1421075407484581,-1.4774067475458437,0.1836427342021145,-0.9463433045061772,3060020
0,100001.0,50,392,-1.944424649998153,-0.5888323884513015,-1.0109927796190954,0.5822070517713746,0.9771771929536756,-0.1610856778934208,-1.708294896551085,0.1945771979677947,-0.9927285405238973,3060021
0,100001.0,50,399,-3.7045807980633185,-0.6355157341154826,-0.8966183442151505,0.4578349988387549,1.1992805228887051,-0.1507399411855929,-1.7310376338080808,0.2038467320629909,-0.9349031917562756,3060022
0,100001.0,50,347,-2.4272907422984047,-0.607627602867852,-0.9569571615162392,0.5253556169144628,1.1456775224869755,-0.1562766483341636,-1.6393451937920298,0.2009656211477879,-0.6096551980289892,3060023
0,100001.0,50,300,-1.554604958087456,-0.508843212415232,-0.7164029183613481,0.3657556242480691,1.0501212255602788,-0.1210659570151844,-0.2402881606707433,0.1290310017136625,-0.3837149555270759,3060024
0,100001.0,50,464,0.2751722578778204,0.3119762319628627,-0.4768730379912119,0.5794094657357187,-0.5470966513557952,-0.0346617793290475,-0.2727631036107016,0.1337739641311069,-0.216257166671239,3060025
0,100001.0,50,394,-2.3342448409231285,-0.7893166097148014,-1.6371419580705426,1.0275302856668662,0.1288508266102664,-0.2493622953451695,-1.8079254143251415,0.200618326800919,-1.2819216821307418,3060026
0,100001.0,50,330,-0.5605966967010849,-0.1152294490178624,-0.976249432438467,0.7959378416390951,-0.1947510118378467,-0.1242523396242399,-0.7006067566403176,0.1447999338624338,-0.5189250111187127,3060027
0,100001.0,50,249,-0.5792534467314224,-0.1848339949378966,-0.6368792943043169,0.4626956406665012,0.9274663314528336,-0.0892565928379768,-1.1691367598901266,0.1686082766439909,-0.642317916650915,3060028
0,100001.0,50,414,-2.265023638034773,-0.4708264159101687,-2.0856609786595977,1.5850996095579384,0.1425101374745537,-0.2801108981761055,-1.9214864325504988,0.2015582206908737,-1.2210585480867258,3060029
0,100001.0,50,472,-2.059682559413458,-0.6086515519703055,-1.2316097646929622,0.7651604623850015,0.6309226205800542,-0.1881743431530507,-1.6504765979621114,0.1844833171363783,-1.1540112203435116,3060030
0,100001.0,50,430,-3.470407763882317,-0.6480536706331234,-1.6074123391077089,1.0743379216917197,0.6003736504366385,-0.2356714466395052,-1.2378960991068166,0.17044158703944,-0.9307181367044638,3060031
0,100001.0,50,388,-3.61436508060448,-0.7588149447996482,-1.10729759812194,0.5789101095007342,0.6777174550398738,-0.184413968444316,-1.0755705667492823,0.1700869236583522,-0.4405808297107289,3060032
0,100001.0,50,404,-4.899733199237157,-0.8396381579878529,-1.0224558368392684,0.4627291831588704,2.976436195207128,-0.1798937665274025,-2.3479982857188944,0.2388355342136854,-1.0095269474801971,3060033
0,100001.0,50,306,-4.9362809168259325,-1.5973141986336044,-1.4909288211645777,0.4841454058491113,2.4141147558501164,-0.2895554701521114,-2.179384850973267,0.211749612125552,-0.6810576446052041,3060034
0,100001.0,50,381,-2.6642972689335593,-0.4369023958763189,-1.30234648931049,0.9159774868414589,0.4008753288998743,-0.1851204482002744,-0.906271002266194,0.1557365636313004,-0.5332426661499009,3060035
0,100001.0,50,426,-3.819823081782201,-0.8433688262852301,-0.7641773344023495,0.2342445477781125,1.5757126140305564,-0.1494273943709001,-1.123616443978853,0.1703612479474548,-0.9614339115984954,3060036
