start,end,N,SS,FayH,ZngE,FulD,FerL,TajD,bsfs,Omega,Colless,btree,path
0,100001.0,50,435,-0.147108668590751,0.712815097128188,0.2151065350359263,-1.0275335160288752,-0.3638454407497948,-1.415317978180628,-0.454089933050576,0.1610732232591529,-0.7856748197921027,3050035
0,100001.0,50,449,-0.0912634227252534,0.2262697312452902,0.8977556731427419,-0.5144721978608463,-0.4349113397768184,-1.2805754627360175,-0.491873387324318,0.1788548752834467,-1.2221705042684023,3050036
0,100001.0,50,458,-0.0429019504591152,0.1351781314938455,0.3301612003326405,-0.258328138762476,-0.176641287081922,-0.3953199806876429,-0.6659155747551749,0.1530739161336176,-0.654913832071197,3050037
0,100001.0,50,371,-0.169596512974593,0.6890353304389605,0.5002680494871307,-1.1071769351931484,-0.5452895726823901,-1.6995404248868766,-0.8077404895090147,0.1737239481779973,-1.334026065526796,3050038
0,100001.0,50,455,-0.1568290004777501,0.8236395236262134,-0.4927114083734412,-1.1321709160310522,-0.326923334848917,-0.9235231557289842,-0.5189643717281315,0.1670619599191027,-0.8157412012635771,3050039
0,100001.0,50,458,-0.0218822802822914,-0.0955711132169151,1.3008194978355174,-0.0379389745808252,-0.2492227565115249,-0.7748831582450889,-0.4656243165816052,0.1590429275158339,-0.8722718856829685,3050040
0,100001.0,50,377,-0.1540559208431905,0.2563964590611562,1.814105288951462,-0.795082795042985,-0.8537184833217343,-3.901638283213645,-1.0619781838362805,0.2170811438347794,-1.801082787367993,3050041
0,100001.0,50,422,-0.0719336425711207,-0.124256295033327,2.2535407854831697,-0.2326369636674244,-0.6353902802510253,-3.5338080569341592,-0.4083568264782299,0.1770917406510626,-1.3245070040560158,3050042
0,100001.0,50,494,-0.1066795523652598,0.1051468341281675,0.3061826504197844,-0.5110940561297473,-0.6630897774053115,-1.4248891105137156,-0.786858618956381,0.2012917526561186,-1.5175080329149415,3050043
0,100001.0,50,471,-0.0807233238009397,0.3110960636161136,1.04832081597142,-0.5185523620317611,-0.2776632342134504,-0.8835203782612433,-1.0089205294025456,0.2046015549076773,-1.634091512506968,3050044
