#/opt/anaconda3/envs/sweep312/bin/bim ../Simulation/Slim(primary)/trees/r3020025.trees ../Simulation/Slim(primary)/trees/r3020026.trees ../Simulation/Slim(primary)/trees/r3020027.trees ../Simulation/Slim(primary)/trees/r3020028.trees ../Simulation/Slim(primary)/trees/r3020029.trees ../Simulation/Slim(primary)/trees/r3020030.trees ../Simulation/Slim(primary)/trees/r3020031.trees ../Simulation/Slim(primary)/trees/r3020032.trees ../Simulation/Slim(primary)/trees/r3020033.trees ../Simulation/Slim(primary)/trees/r3020034.trees ../Simulation/Slim(primary)/trees/r3020035.trees ../Simulation/Slim(primary)/trees/r3020036.trees ../Simulation/Slim(primary)/trees/r3020037.trees ../Simulation/Slim(primary)/trees/r3020038.trees ../Simulation/Slim(primary)/trees/r3020039.trees ../Simulation/Slim(primary)/trees/r3020040.trees ../Simulation/Slim(primary)/trees/r3020041.trees ../Simulation/Slim(primary)/trees/r3020042.trees ../Simulation/Slim(primary)/trees/r3020043.trees ../Simulation/Slim(primary)/trees/r3020044.trees ../Simulation/Slim(primary)/trees/r3020045.trees ../Simulation/Slim(primary)/trees/r3020046.trees ../Simulation/Slim(primary)/trees/r3020047.trees ../Simulation/Slim(primary)/trees/r3020048.trees ../Simulation/Slim(primary)/trees/r3020049.trees 50 --stat=all --eta=../Simulation/Slim(primary)/etas/Fn.json --out=outs/109655144.csv --r2t=0.005 --r2s=0.001 --weights=split
start,end,N,SS,FerL,FulD,ZngE,bsfs,TajD,FayH,Omega,btree,Colless,path
0,100001.0,50,393,-0.8790318237910867,-0.2768424883375318,1.0157270474223314,0.23322845343213447,0.4752445651103089,-0.07108659055410953,-0.3809313084891124,-1.066917293002842,0.17470710506424794,r3020035.trees
0,100001.0,50,342,-1.0693443174840092,-0.13032466774345614,0.7115599650214092,-1.0332538856028206,-0.43740344012368687,-0.15777445829912592,-0.9336692496600458,-1.8302964916354787,0.18990339191232047,r3020036.trees
0,100001.0,50,446,-1.2964457349455494,-0.3697020903245155,0.9170951198462891,-1.2432311405407193,-0.42475378384231016,-0.18315022488390534,-0.3991656738619128,-2.1686011710795063,0.21662540755947352,r3020037.trees
0,100001.0,50,338,-0.9040711336271174,2.1386023660644424,0.3918617682655211,-4.156280309887839,-0.7769054151903001,-0.16189292597026242,-1.0120607136024178,-2.107370312170881,0.2206765518707483,r3020038.trees
0,100001.0,50,380,-0.7962473599179741,-0.563223338446481,0.5958989102258316,-0.5490532807707841,-0.1975817561124495,-0.10832701462686707,-0.0007553412813202098,-1.1297622613213518,0.181656383483626,r3020039.trees
0,100001.0,50,393,-1.37398075788672,-0.6535625735818908,1.1046093553232919,-1.1024994112534263,-0.19307224244319415,-0.17649617949713503,0.06494820323117438,-0.3358752846728815,0.14295331227729186,r3020040.trees
0,100001.0,50,375,-0.31439567668121393,-0.13214093205477723,0.2160082306116584,-0.41620122253322345,-0.11538716624292364,-0.04539359068249269,-0.6388282987456017,-1.0304737493300427,0.1730257320319432,r3020041.trees
0,100001.0,50,422,-0.747918555834444,0.18271231743918387,0.4928713637308755,-0.6806649246434069,-0.3151174249650247,-0.11063328607695447,-0.7194206509221032,-1.1575158574102247,0.17693969479683763,r3020042.trees
0,100001.0,50,453,-0.659449379836604,0.9589231877984956,0.23357555825531057,-1.7851767066226283,-0.6666630442692332,-0.12458948618612417,-1.03407284972236,-1.2399431390846993,0.17634264232008592,r3020043.trees
0,100001.0,50,402,-1.0619732939114168,0.06080872787667128,0.8404707199989527,-0.9608627084650677,-0.17504877982243686,-0.13817148623175984,-0.5422066049295483,-0.4813284972086371,0.13989145040732343,r3020044.trees
0,100001.0,50,395,-0.07234840350816099,1.0197756279584542,-0.18467488995896972,-1.280524297397991,-0.4806561951508418,-0.0421604192368021,-0.5374102171093325,-1.4286150908415434,0.18462073948750485,r3020045.trees
0,100001.0,50,307,-0.21526029050082676,0.9033424672724135,0.1471034009363307,-0.6193587460982587,-0.08055660794911158,-0.031297534803652965,-0.5840692649228993,-0.7497739751235738,0.15759183673469387,r3020046.trees
0,100001.0,50,396,-1.331777949000013,-0.18752335954567323,1.0100014103304897,-1.2986777808963812,-0.30472469768029337,-0.17926817692162877,-0.7441694599612888,-0.8939791295271381,0.15426462982853958,r3020047.trees
0,100001.0,50,351,-1.0329184533168525,0.46303793345258776,0.8479412105570079,-0.7580862069843843,-0.11085133224748547,-0.13054075251441827,-0.8922793642067796,-1.1106783892357286,0.17598447829836159,r3020048.trees
0,100001.0,50,450,-0.47603844349930063,-0.2639993682849941,0.6030386854084449,0.33200304570051775,0.35925251964413074,-0.03128395545343795,-0.018975299633915123,-0.01573099223228329,0.13110156343239052,r3020049.trees
