"scenario","file","tree_index","left","right","mid","distance"
"s=0.02F=0.5","r3020000",174,95801,96047,95924,4038934.96413919
"s=0.02F=0.5","r3020000",175,96047,96119,96083,3862093.54992633
"s=0.02F=0.5","r3020000",176,96119,96220,96169.5,3861987.31623378
"s=0.02F=0.5","r3020000",177,96220,96947,96583.5,3889488.95363293
"s=0.02F=0.5","r3020000",178,96947,97232,97089.5,3880969.31010863
"s=0.02F=0.5","r3020000",179,97232,97526,97379,4191912.18828583
"s=0.02F=0.5","r3020000",180,97526,97549,97537.5,5052295.30768699
"s=0.02F=0.5","r3020000",181,97549,97794,97671.5,4909697.5056587
"s=0.02F=0.5","r3020000",182,97794,97837,97815.5,4550991.12484884
"s=0.02F=0.5","r3020000",183,97837,97963,97900,4909697.5056587
"s=0.02F=0.5","r3020000",184,97963,98178,98070.5,4908907.89441695
"s=0.02F=0.5","r3020000",185,98178,98185,98181.5,5271525.73246704
"s=0.02F=0.5","r3020000",186,98185,98700,98442.5,5279732.18507296
"s=0.02F=0.5","r3020000",187,98700,99084,98892,5236044.08364157
"s=0.02F=0.5","r3020000",188,99084,99157,99120.5,4486419.90573036
"s=0.02F=0.5","r3020000",189,99157,99292,99224.5,5058606.61091828
"s=0.02F=0.5","r3020000",190,99292,99534,99413,5117164.79391629
"s=0.02F=0.5","r3020000",191,99534,100001,99767.5,4972770.80442202
"s=0.02F=0.5","r3020001",0,0,55,27.5,5459288.82142381
"s=0.02F=0.5","r3020001",1,55,337,196,5526853.35467498
"s=0.02F=0.5","r3020001",2,337,433,385,5459204.81503961
"s=0.02F=0.5","r3020001",3,433,2764,1598.5,7245744.82934531
"s=0.02F=0.5","r3020001",4,2764,3058,2911,7287522.98953005
"s=0.02F=0.5","r3020001",5,3058,3279,3168.5,7663759.17566891
"s=0.02F=0.5","r3020001",6,3279,3948,3613.5,4788995.63476161
"s=0.02F=0.5","r3020001",7,3948,6373,5160.5,4845719.68680308
"s=0.02F=0.5","r3020001",8,6373,7194,6783.5,4818038.709558
"s=0.02F=0.5","r3020001",9,7194,7306,7250,4740044.4574158
"s=0.02F=0.5","r3020001",10,7306,9136,8221,4744797.61833123
"s=0.02F=0.5","r3020001",11,9136,9937,9536.5,4599133.64134669
"s=0.02F=0.5","r3020001",12,9937,10108,10022.5,4618424.59838739
"s=0.02F=0.5","r3020001",13,10108,10734,10421,4893478.66706948
"s=0.02F=0.5","r3020001",14,10734,12343,11538.5,4949867.61745115
"s=0.02F=0.5","r3020001",15,12343,13707,13025,4635357.92426422
"s=0.02F=0.5","r3020001",16,13707,13863,13785,4538002.1838519
"s=0.02F=0.5","r3020001",17,13863,14251,14057,4826191.90597239
"s=0.02F=0.5","r3020001",18,14251,16380,15315.5,4850740.02465894
"s=0.02F=0.5","r3020001",19,16380,16629,16504.5,4954863.47795915
"s=0.02F=0.5","r3020001",20,16629,17119,16874,4987750.24354277
"s=0.02F=0.5","r3020001",21,17119,17668,17393.5,4349000.9190752
"s=0.02F=0.5","r3020001",22,17668,17822,17745,4375538.02916722
"s=0.02F=0.5","r3020001",23,17822,18302,18062,4594974.84791919
"s=0.02F=0.5","r3020001",24,18302,18568,18435,4521362.85319652
"s=0.02F=0.5","r3020001",25,18568,18700,18634,5449294.12986852
"s=0.02F=0.5","r3020001",26,18700,19005,18852.5,5359615.96116348
"s=0.02F=0.5","r3020001",27,19005,19339,19172,5649434.81215994
"s=0.02F=0.5","r3020001",28,19339,20001,19670,5513923.80199386
"s=0.02F=0.5","r3020001",29,20001,20485,20243,5463626.48217369
"s=0.02F=0.5","r3020001",30,20485,20637,20561,5428726.35815329
"s=0.02F=0.5","r3020001",31,20637,21747,21192,5432897.16174956
"s=0.02F=0.5","r3020001",32,21747,22557,22152,5355984.95145809
"s=0.02F=0.5","r3020001",33,22557,24240,23398.5,5457552.66957361
"s=0.02F=0.5","r3020001",34,24240,24809,24524.5,5514258.28856293
"s=0.02F=0.5","r3020001",35,24809,25216,25012.5,4738673.17686095
"s=0.02F=0.5","r3020001",36,25216,25878,25547,5161234.03794296
"s=0.02F=0.5","r3020001",37,25878,26179,26028.5,5069470.79747658
"s=0.02F=0.5","r3020001",38,26179,26471,26325,5019296.40099315
"s=0.02F=0.5","r3020001",39,26471,29277,27874,4817125.43557377
"s=0.02F=0.5","r3020001",40,29277,29442,29359.5,4908376.3748891
"s=0.02F=0.5","r3020001",41,29442,29851,29646.5,4542682.99576419
"s=0.02F=0.5","r3020001",42,29851,30338,30094.5,4294499.24899814
"s=0.02F=0.5","r3020001",43,30338,30848,30593,4147104.41422324
"s=0.02F=0.5","r3020001",44,30848,32290,31569,4453143.21451297
"s=0.02F=0.5","r3020001",45,32290,32410,32350,4600538.04928788
"s=0.02F=0.5","r3020001",46,32410,32796,32603,6060894.32219407
"s=0.02F=0.5","r3020001",47,32796,33002,32899,7373788.82750676
"s=0.02F=0.5","r3020001",48,33002,33846,33424,7370537.84636619
"s=0.02F=0.5","r3020001",49,33846,33927,33886.5,6252287.03870721
"s=0.02F=0.5","r3020001",50,33927,34057,33992,6257536.15615796
"s=0.02F=0.5","r3020001",51,34057,34857,34457,7368788.14054927
"s=0.02F=0.5","r3020001",52,34857,35790,35323.5,7361192.09885371
"s=0.02F=0.5","r3020001",53,35790,37097,36443.5,7420288.76024779
"s=0.02F=0.5","r3020001",54,37097,37165,37131,8575863.63368815
"s=0.02F=0.5","r3020001",55,37165,37237,37201,8580794.41030216
"s=0.02F=0.5","r3020001",56,37237,37253,37245,7528058.41394915
"s=0.02F=0.5","r3020001",57,37253,37792,37522.5,7665380.37566161
"s=0.02F=0.5","r3020001",58,37792,39993,38892.5,6418867.88637132
"s=0.02F=0.5","r3020001",59,39993,40021,40007,5605679.87627618
"s=0.02F=0.5","r3020001",60,40021,40884,40452.5,5830884.08242629
"s=0.02F=0.5","r3020001",61,40884,42189,41536.5,5615851.53453159
"s=0.02F=0.5","r3020001",62,42189,42562,42375.5,5265200.15714145
"s=0.02F=0.5","r3020001",63,42562,42570,42566,6082200.36651729
"s=0.02F=0.5","r3020001",64,42570,42611,42590.5,6034490.4975526
"s=0.02F=0.5","r3020001",65,42611,43186,42898.5,11089797.3778639
"s=0.02F=0.5","r3020001",66,43186,43342,43264,12000834.655489
"s=0.02F=0.5","r3020001",67,43342,43472,43407,12652607.9454282
"s=0.02F=0.5","r3020001",68,43472,44015,43743.5,12736603.7723974
"s=0.02F=0.5","r3020001",69,44015,45218,44616.5,12215369.4893608
"s=0.02F=0.5","r3020001",70,45218,46129,45673.5,12134162.7654583
"s=0.02F=0.5","r3020001",71,46129,47143,46636,9552594.57822549
"s=0.02F=0.5","r3020001",72,47143,47622,47382.5,9558952.82401864
"s=0.02F=0.5","r3020001",73,47622,47917,47769.5,9128397.35323799
"s=0.02F=0.5","r3020001",74,47917,48073,47995,8121720.86373668
"s=0.02F=0.5","r3020001",75,48073,48380,48226.5,9128397.35323799
"s=0.02F=0.5","r3020001",76,48380,48464,48422,8439118.25198648
"s=0.02F=0.5","r3020001",77,48464,48777,48620.5,7449246.23420945
"s=0.02F=0.5","r3020001",78,48777,48828,48802.5,8766843.45343765
"s=0.02F=0.5","r3020001",79,48828,49121,48974.5,9128896.95486719
"s=0.02F=0.5","r3020001",80,49121,49175,49148,9114366.3058308
"s=0.02F=0.5","r3020001",81,49175,50393,49784,9341937.58689847
"s=0.02F=0.5","r3020001",82,50393,52843,51618,9035211.53432139
"s=0.02F=0.5","r3020001",83,52843,53566,53204.5,9341937.58689847
"s=0.02F=0.5","r3020001",84,53566,54943,54254.5,9458963.70601337
"s=0.02F=0.5","r3020001",85,54943,55165,55054,9035211.53432139
"s=0.02F=0.5","r3020001",86,55165,56145,55655,9020370.42255579
"s=0.02F=0.5","r3020001",87,56145,56375,56260,7030949.35681418
