"label","score"
0,1781254.12947628
0,2201247.43957979
0,1877181.24745138
0,3376006.65921356
0,2649489.32327875
0,1582370.51296258
0,2194719.19559238
0,2814140.3410068
0,2063018.75902025
0,2321999.90678274
0,1868727.69060643
0,2148366.9461028
0,2032892.54053701
0,1959243.45902869
0,3839266.53872248
0,1844720.77787201
0,1387810.72170549
0,2449264.53910164
0,2048635.02075935
0,2464491.28038017
0,1777589.91530795
0,1575585.79329387
0,2001924.83286175
0,1754264.71281379
0,2080738.37159533
0,2310876.0333421
0,2273742.87722692
0,2862060.51671597
0,2323831.75295296
0,2050394.04106537
0,1924659.89520534
0,1819004.09844853
0,2134550.97913774
0,1649860.5682501
0,1883017.7662171
0,2445474.91946122
0,1773510.48002226
0,2036821.96961194
0,1710009.78870821
0,2489278.85892641
0,2066725.92845991
0,2151650.91790765
0,1604619.8482145
0,1774501.35169488
0,2068326.22922873
0,2297247.66368298
0,1848297.74702758
0,1818139.64329233
0,1871844.64457939
0,2825198.25531096
0,1701973.17959479
0,2158808.39534839
0,2085314.42630468
0,2074802.73737041
0,2249238.19752711
0,3148257.12230845
0,2802973.7972202
0,2030137.36508223
0,2854175.88257268
0,2153711.24247119
0,2016551.68384331
0,2000431.55749886
0,2118289.80338862
0,2011082.96981828
0,2847610.71014324
0,1576055.89207597
0,2111437.61512578
0,1700385.84303325
0,2061070.05946569
0,1902271.68968542
0,1440100.0353754
0,2711419.66554522
0,1678419.56356508
0,1781709.08574148
0,3418276.03479979
0,2396165.57633291
0,2386648.59355334
0,2646909.94353682
0,1280434.43138986
0,3173297.50762682
0,2014041.97114798
0,2686112.22553631
0,3071700.94560959
0,2038955.90369367
0,2120070.92932696
0,2251379.66300173
0,1702981.28431207
0,2149218.93008297
0,1860081.63692082
0,2617278.18419881
0,1996206.06632361
0,2276379.21195351
0,1891202.13453356
0,2613062.6649561
0,1813187.16592722
0,1576765.67731231
0,1552947.96682835
0,1875653.11215809
0,2873207.75754222
0,2799499.81281242
0,1649802.71442473
0,2647084.02580542
0,2821180.0742057
0,3691447.88812681
0,2359925.33647759
0,2024564.74782324
0,1968344.17229854
0,1765346.54672408
0,2618257.47054659
1,2777208.23587507
1,2774089.55334717
1,2601620.69774162
1,2162490.9938144
1,2094185.18454841
1,3859288.81416067
1,2388633.58888742
1,2578694.92283983
1,2045100.0721344
1,2398824.01930159
1,3734311.96136861
1,3752851.24773355
1,3580857.18317637
1,1677256.86379239
1,2596101.19661648
1,2832232.71643106
1,1836542.4270728
1,1693143.34806898
1,2495634.86328071
1,2033425.50974573
1,2590278.7010964
1,2540566.87019683
1,2655936.33018384
1,2550813.88804724
1,2288320.71419822
1,2826247.19571189
1,3227871.34082053
1,2131063.96489963
1,3191541.03846008
1,1876906.74337429
1,1966954.17446679
1,2883416.16271728
1,2297472.15221799
1,2543237.28566547
1,2381332.52672053
1,3221749.64732081
1,2638271.4000761
1,2749839.10084727
1,2432039.91081842
1,1931439.58491975
1,1787453.57038506
1,1959844.36627823
1,2409721.94832655
1,1867971.89632416
1,3400779.50452355
1,3632360.75978773
1,1968944.71837882
1,2994148.52510023
1,3519560.12757325
1,2278375.4927593
1,2019985.36910997
1,2983761.96658425
1,2414132.59766116
1,1925345.73223113
1,3688860.2882736
1,2567034.16272265
1,2945840.68519275
1,2356133.04190269
1,2924433.93492827
1,3664782.8632953
1,1379737.90921301
1,2434313.65789426
1,2796752.36544741
1,3057114.27607078
1,2242698.96830138
1,2354999.45239932
1,1725535.94694484
1,2492715.91488169
1,2613024.91763648
1,2964147.84610614
1,2302058.80424915
1,3071976.1463279
1,2054534.0923281
1,2302299.91550564
1,3615687.86945197
1,1795476.68837422
1,2979914.52665833
1,1891373.49996578
1,2129062.76097813
1,2899324.74559039
1,1990612.73787379
1,3289134.74816219
1,2101898.0863639
1,2626083.99102727
1,1736451.59379252
1,2832232.03484127
1,1987260.29476827
1,2773658.31496762
1,3164064.71220354
1,3112404.55686521
1,2690671.89973614
1,2083602.01068713
1,2192255.8206517
1,2743891.73413183
1,1590692.38442518
1,1893730.76572511
1,2349087.2199087
1,3077061.46086471
1,2286337.21506799
1,1547068.56212946
1,2206280.66375055
1,2017548.68943506
1,2068675.02333653
1,1581784.98443041
1,2478899.63325742
1,2008717.60914225
1,1372876.19151141
1,2045235.92009308
1,2877413.84426167
1,2869667.67545032
1,2469915.91409463
1,2418251.56028091
1,2204698.91034622
1,3097975.3557257
1,2322761.29966434
1,2907326.14142098
1,1994726.68422589
